Constructor,Total_Starts,GP_Wins,Win_Percentage,Pole_Positions,GP_Podiums
Ferrari,1115,248,"22,24%",254,845
Mercedes,334,130,"38,92%",144,306
Red Bull Racing,410,126,"30,73%",110,290
McLaren,987,201,"20,36%",173,551
Williams,856,114,"13,32%",128,314
Renault,400,35,"8,75%",51,103
Team Lotus,493,79,"16,02%",107,172
Brabham,394,35,"8,88%",39,124
Benetton,260,27,"10,38%",15,102
Tyrrell,430,23,"5,35%",14,77
BRM,178,17,"9,55%",11,61
Cooper-Climax,101,14,"13,86%",10,50
Alfa Romeo,216,11,"5,09%",12,28
Vanwall,28,10,"35,71%",7,14
Maserati,70,9,"12,86%",10,40
Matra,61,9,"14,75%",4,21
Ligier,291,9,"3,09%",9,50
Brawn GP,17,8,"47,06%",5,15
Jordan,110,4,"3,64%",2,19
Honda,88,3,"3,41%",9,13
Wolf,47,3,"6,38%",1,13
March,197,3,"1,52%",5,21
